<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201123,100100,240.4600000,241.5800000,240.3600000,241.4700000,1244130
SBER,1,20201123,100200,241.4700000,241.8000000,241.4000000,241.6900000,561810
SBER,1,20201123,100300,241.6800000,241.9000000,241.6000000,241.7900000,515560
SBER,1,20201123,100400,241.7900000,242.0000000,241.7800000,241.9700000,720760
SBER,1,20201123,100500,242.0000000,242.4300000,241.8900000,242.4200000,1033800
SBER,1,20201123,100600,242.4200000,242.7300000,242.4200000,242.6800000,936420
SBER,1,20201123,100700,242.6200000,242.7000000,242.6000000,242.6500000,384700
SBER,1,20201123,100800,242.6300000,242.7300000,242.3000000,242.4700000,419220
SBER,1,20201123,100900,242.3900000,242.4400000,242.3000000,242.3800000,161490
SBER,1,20201123,101000,242.3800000,242.4700000,242.3400000,242.3600000,166870
SBER,1,20201123,101100,242.3600000,242.4700000,242.3100000,242.4200000,181680
SBER,1,20201123,101200,242.4200000,243.1000000,242.4200000,243.0700000,1003080
SBER,1,20201123,101300,243.0500000,243.2900000,242.9700000,243.2500000,465090
SBER,1,20201123,101400,243.2500000,243.6800000,243.1600000,243.5200000,761660
SBER,1,20201123,101500,243.5900000,243.6000000,243.3000000,243.3000000,411670
SBER,1,20201123,101600,243.3000000,243.5200000,243.2900000,243.3800000,163290
SBER,1,20201123,101700,243.3600000,243.5200000,243.3500000,243.4600000,195690
SBER,1,20201123,101800,243.4500000,243.8700000,243.4500000,243.7500000,329480
SBER,1,20201123,101900,243.7500000,243.8200000,243.5000000,243.7000000,218480
SBER,1,20201123,102000,243.6900000,243.7600000,243.4900000,243.4900000,159960
SBER,1,20201123,102100,243.5000000,243.7400000,243.0000000,243.1100000,601850
SBER,1,20201123,102200,243.1800000,243.1800000,242.9000000,243.0000000,282250
SBER,1,20201123,102300,242.9900000,243.1000000,242.9000000,242.9700000,134190
SBER,1,20201123,102400,242.9800000,243.1600000,242.9100000,243.1000000,138230
SBER,1,20201123,102500,243.1200000,243.1300000,242.9700000,243.0300000,113870
SBER,1,20201123,102600,243.0700000,243.0900000,242.9200000,243.0800000,113240
