<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201201,100100,250.7100000,250.8700000,249.9900000,250.4500000,873010
SBER,1,20201201,100200,250.4500000,250.6500000,250.3000000,250.4000000,219850
SBER,1,20201201,100300,250.4600000,250.5000000,250.2700000,250.3300000,149630
SBER,1,20201201,100400,250.3400000,250.4200000,250.2700000,250.3100000,54970
SBER,1,20201201,100500,250.3200000,250.7000000,250.3200000,250.6000000,311690
SBER,1,20201201,100600,250.6800000,250.7500000,250.5300000,250.7500000,165360
SBER,1,20201201,100700,250.7300000,250.9800000,250.7000000,250.9800000,229060
SBER,1,20201201,100800,250.9800000,250.9800000,250.2700000,250.2700000,299180
SBER,1,20201201,100900,250.2700000,250.6300000,250.2700000,250.5400000,191390
SBER,1,20201201,101000,250.5400000,250.6000000,250.2700000,250.3100000,77050
SBER,1,20201201,101100,250.3400000,250.3600000,250.0000000,250.2000000,335420
SBER,1,20201201,101200,250.2000000,250.2800000,249.8100000,250.0400000,264160
SBER,1,20201201,101300,250.0800000,250.1900000,249.9200000,250.1000000,201940
SBER,1,20201201,101400,250.1000000,250.1600000,249.8000000,249.9300000,211740
SBER,1,20201201,101500,249.8600000,250.0300000,249.8400000,249.9000000,60170
SBER,1,20201201,101600,249.9000000,250.1200000,249.9000000,250.1000000,50150
SBER,1,20201201,101700,250.0900000,250.1500000,249.9500000,250.0800000,97240
SBER,1,20201201,101800,250.0800000,250.0800000,249.8000000,250.0300000,211380
SBER,1,20201201,101900,250.0400000,250.1800000,249.9800000,250.1000000,151130
SBER,1,20201201,102000,250.0900000,250.1700000,250.0000000,250.0800000,166680
SBER,1,20201201,102100,250.1000000,250.1700000,250.0500000,250.0700000,259220
SBER,1,20201201,102200,250.0700000,250.1700000,249.9000000,250.0300000,162280
SBER,1,20201201,102300,250.0900000,250.1700000,250.0800000,250.1100000,178830
SBER,1,20201201,102400,250.1000000,250.5000000,250.0900000,250.4200000,297120
